Code,Common_Name,Species_Name,Mesh,Site,Int_wt_g,mass_loss_transport_g,Final_wt_g,Total_wt_lost_g,percent_wt_lost
SGS 364,Sweetgum,Liquidambar styraciflua,Small,BA4,3.996,0,2.92712,1.06888,26.74874875
SGS 366,Sweetgum,Liquidambar styraciflua,Small,BA4,4.002,0.01,2.72488,1.26712,31.74148297
ROL 401,Red Oak,Quercus rubra,Large,CC1,4.001,0.006,2.9731,1.0219,25.57947434
ROL 411,Red Oak,Quercus rubra,Large,CC1,3.997,0.003,2.83995,1.15405,28.89459189
ROL 424,Red Oak,Quercus rubra,Large,CC1,4.006,0.015,3.2918,0.6992,17.51941869
ROL 409,Red Oak,Quercus rubra,Large,CC1,3.995,0.004,2.77644,1.21456,30.43247306
ROS 451,Red Oak,Quercus rubra,Small,CC1,4,0,3.26226,0.73774,18.4435
ROS 437,Red Oak,Quercus rubra,Small,CC1,4,0.001,2.88231,1.11669,27.92423106
ROS 438,Red Oak,Quercus rubra,Small,CC1,4,0.004,3.0985,0.8975,22.45995996
ROS 447,Red Oak,Quercus rubra,Small,CC1,4,0,3.08417,0.91583,22.89575
ROS 430,Red Oak,Quercus rubra,Small,CC1,3.993,0,3.06515,0.92785,23.2369146
ROL 404,Red Oak,Quercus rubra,Large,W2,4.003,0.002,3.09442,0.90658,22.65883529
ROL 406,Red Oak,Quercus rubra,Large,W2,3.998,0.003,2.88861,1.10639,27.69436796
ROL 416,Red Oak,Quercus rubra,Large,W2,3.996,0.01,2.70925,1.27675,32.030858
ROS 440,Red Oak,Quercus rubra,Small,W2,4,0,3.23029,0.76971,19.24275
ROS 441,Red Oak,Quercus rubra,Small,W2,4,0,1.3647,2.6353,65.8825
ROS 446,Red Oak,Quercus rubra,Small,W2,4,0,3.992,0.008,0.2
ROS 429,Red Oak,Quercus rubra,Small,W2,4.005,0.006,2.53279,1.46621,36.6644161
ROS 439,Red Oak,Quercus rubra,Small,CG3,4,0.005,3.39856,0.59644,14.92966208
ROL 417,Red Oak,Quercus rubra,Large,CG3,4.002,0.003,3.41073,0.58827,14.71042761
ROL 413,Red Oak,Quercus rubra,Large,CG3,4.003,0.001,3.23768,0.76432,19.09845077
ROS 427,Red Oak,Quercus rubra,Small,CG3,3.996,0.008,3.46077,0.52723,13.22041123
ROL 423,Red Oak,Quercus rubra,Large,CG3,4.004,0.104,3.15525,0.74475,19.09615385
ROL 419,Red Oak,Quercus rubra,Large,CG3,3.999,0.006,3.988,0.005,0.125219133
ROS 428,Red Oak,Quercus rubra,Small,CG3,3.994,0.004,3.36797,0.62203,15.58972431
ROS 425,Red Oak,Quercus rubra,Small,CG3,4.004,0.016,3.984,0.004,0.100300903
ROS 432,Red Oak,Quercus rubra,Small,BA4,3.993,0.002,3.23274,0.75826,18.99924831
ROS 433,Red Oak,Quercus rubra,Small,BA4,3.996,0.001,3.8486,0.1464,3.664580726
ROL 403,Red Oak,Quercus rubra,Large,BA4,3.994,0,3.53395,0.46005,11.51852779
ROL 421,Red Oak,Quercus rubra,Large,BA4,4.002,0.001,2.88351,1.11749,27.93026743
ROS 431,Red Oak,Quercus rubra,Small,BA4,4.004,0.001,3.47327,0.52973,13.23332501
ROS 442,Red Oak,Quercus rubra,Small,BA4,4,0,3.87626,0.12374,3.0935
ROL 407,Red Oak,Quercus rubra,Large,BA4,3.999,0.001,2.23521,1.76279,44.0917959
ROL 402,Red Oak,Quercus rubra,Large,BA4,3.998,0.009,3.20974,0.77926,19.53522186
SYC 529,Sycamore,Platanus occidentalis,Small,CC1,3.995,0.001,3.14617,0.84783,21.22759139
SYC 506,Sycamore,Platanus occidentalis,Small,CC1,4,0.001,3.07901,0.91999,23.00550138
SYC 525,Sycamore,Platanus occidentalis,Small,CC1,3.996,0.001,3.05438,0.94062,23.54493116
SYC 513,Sycamore,Platanus occidentalis,Small,CC1,4,0,3.18263,0.81737,20.43425
SYC 527,Sycamore,Platanus occidentalis,Small,CC1,4.002,0,3.00826,0.99374,24.83108446
SYC 536,Sycamore,Platanus occidentalis,Small,W2,4.007,0,3.3926,0.6144,15.33316696
SYC 510,Sycamore,Platanus occidentalis,Small,W2,4,0,2.89852,1.10148,27.537
SYC 535,Sycamore,Platanus occidentalis,Small,W2,4.005,0.002,3.08225,0.92075,23.00149888
SYC 519,Sycamore,Platanus occidentalis,Small,W2,3.997,0,2.95281,1.04419,26.12434326
SYC 518,Sycamore,Platanus occidentalis,Small,W2,4,0,2.97435,1.02565,25.64125
SYC 515,Sycamore,Platanus occidentalis,Small,CG3,4,0,3.45795,0.54205,13.55125
SYC 530,Sycamore,Platanus occidentalis,Small,CG3,4.001,0,3.36641,0.63459,15.8607848
SYC 537,Sycamore,Platanus occidentalis,Small,CG3,4.002,0.003,3.26172,0.73728,18.43660915
SYC 516,Sycamore,Platanus occidentalis,Small,CG3,4,0,3.44608,0.55392,13.848
SYC 508,Sycamore,Platanus occidentalis,Small,CG3,4,0.02,3.6427,0.3373,8.474874372
SYC 503,Sycamore,Platanus occidentalis,Small,BA4,3.998,0,3.54209,0.45591,11.40345173
SYC 501,Sycamore,Platanus occidentalis,Small,BA4,4.006,0.001,3.9416,0.0634,1.583021223
SYC 521,Sycamore,Platanus occidentalis,Small,BA4,4.003,0,3.67362,0.32938,8.228328753
SYC 512,Sycamore,Platanus occidentalis,Small,BA4,4,0,3.4282,0.5718,14.295
SYC 524,Sycamore,Platanus occidentalis,Small,BA4,3.998,0,4.02635,-0.02835,-0.709104552
